author,content,time,likes
@Darkmatter321,No one talks about the workers who dug those steps in the mountain face and put all the bolts in the walls to attach the cables. Hats off to them and their bravery,9个月前,2924
@yvonne4010,I did the plank walk around 20 years ago. Can you imagine  there was no hook by then. You just walked through with bare hands. Still couldn’t believe I have done this,6个月前,733
@zimuli3549,Most foreign tourists always visit China's cities. China has countless natural beauty and places of interest (many of which are world class) that are actually more worth visiting.,9个月前,3123
@warrenwang924,The workers who built this are the real heros!,9个月前,407
@一一-u7g5o,"When I was in college, I went to Xi'an with my classmates. We were unsure about climbing Mount Hua, and my parents didn't agree with me going because they thought it was too dangerous. It ended up raining the whole time we were in Xi'an, so I easily decided not to go without any hesitation. Watching your video, I felt nervous along with you, and I couldn't help but gasp at the thrilling parts. Unfortunately, the fog hid some of the best views. It was a very interesting video! By the way, the people who built the mountain paths on Mount Hua are amazing！！！",9个月前,365
@52beautifulmind,What an amazing video!,9个月前,53
@alexanderschwarm7755,Fantastic video! Great video production and editing. Thank you.,9个月前,251
@jerrylou3791,"I Climbed the same route ten years ago. There wasn't as much fog as in the video. You could clearly see where you were and how far you were from the ground. My feet couldn't help shaking when I walked on the plank. I'm glad I conquered this mountain when I was young. Now I don't have the courage any more. The younger I was, the less afraid of death. Now I'm more afraid of death as I get older.",7个月前,75
@afx2024,My legs are shaking just by watching your footage.,9个月前,802
@carmenl163,His is why I love YouTube so much. Thank you very much for taking me to a place I'd never go to myself! ,8个月前,31
@419311248t,"Hi Joel, please read this comment carefully if you ever consider come back Mount Hua. Firstly, best time to climb is summer. If you spend a night there, you'll see fireflies around the valley. But do bring enough clothes coz sometimes it snows during the night even in summer. Yes. snows. Secondly, the best route is to climb up on foot, starting early morning, to the west peak. so that you won't miss the stunning view on the way, which I think it the best part of Mount Hua. and remember to reach west peak before sunset, coz you can watch one of the best sunsets there. after that, you can go to the same hostel and take a short break. Do you know why there are noisy people during night? Because they are getting ready for the stunning sunrise at the East Peak. So get up at 3'am and put on your warmest jacket, then go to the East Peak, there you are going to watch the red sun rising from ocean of clouds. Amazing view. After that, you can either take a cable or a roller-coaster (yes you are reading it right) to get down to the ground. Another stunning point that you have missed is a place called ""edge of eagle"". Trust me, it is even more breath taking than the plank walk. This mountain is called Mount Hua because it has five peaks and looks like a flower from the top. You have explored only two peaks so definitely worth coming back. Love your video!",9个月前,1146
@FreddieWu,There used to be no protective gears at this plankwalk a bit more than 10 years ago when I visited Changkong Plankwalk at Huashan Mountains. There was only that thick iron chain and you could only survive by holding onto it with your bare hands. It was said that there were always fatalities there every year until they installed the protective gears and put up managements to make sure everybody comes back safe.,9个月前（修改过）,40
@lkm1010,Mad respects to the people who actually built the walk.,9个月前,1040
